	legnum
evenBo39.oddBo41	55403
evenBo50.oddBo69	47664
evenBo38.oddBo86	52427
evenBo5.oddBo42	39003
evenBo31.oddBo71	44792
evenBo15.oddBo55	17158
evenBo29.oddBo5	31474
evenBo24.oddBo45	11645
evenBo38.oddBo41	67322
evenBo9.oddBo63	142721
evenBo40.oddBo17	30804
evenBo26.oddBo38	44981
evenBo42.oddBo43	33492
evenBo30.oddBo20	15395
evenBo36.oddBo42	56328
evenBo4.oddBo25	1562
evenBo27.oddBo54	47852
evenBo19.oddBo27	28387
evenBo16.oddBo69	27929
evenBo39.oddBo33	38649
evenBo12.oddBo65	10111
evenBo46.oddBo74	54615
evenBo25.oddBo30	63647
evenBo26.oddBo47	28745
evenBo7.oddBo15	5959
evenBo38.oddBo82	103860
evenBo9.oddBo25	14779
evenBo34.oddBo40	38100
evenBo29.oddBo9	12101
evenBo29.oddBo69	168894
evenBo24.oddBo53	56449
evenBo31.oddBo69	200198
evenBo33.oddBo87	8232
evenBo9.oddBo44	85198
evenBo32.oddBo60	58546
evenBo34.oddBo38	73835
evenBo41.oddBo69	60319
evenBo38.oddBo63	16275
evenBo35.oddBo71	15865
evenBo41.oddBo66	75070
evenBo46.oddBo72	11673
evenBo27.oddBo24	9035
evenBo27.oddBo3	13702
evenBo48.oddBo15	9920
evenBo23.oddBo69	16439
evenBo35.oddBo84	40961
evenBo33.oddBo7	53183
evenBo23.oddBo63	14368
evenBo29.oddBo45	44615
evenBo15.oddBo36	48676
evenBo46.oddBo64	34180
evenBo11.oddBo73	25945
evenBo18.oddBo40	12480
evenBo47.oddBo74	32601
evenBo8.oddBo62	98106
evenBo11.oddBo44	21557
evenBo49.oddBo80	9147
evenBo39.oddBo23	22727
evenBo47.oddBo63	116617
evenBo27.oddBo70	85059
evenBo18.oddBo7	6298
evenBo8.oddBo21	76607
evenBo41.oddBo28	20428
evenBo34.oddBo44	89488
evenBo19.oddBo4	30111
evenBo29.oddBo43	35624
evenBo30.oddBo31	37020
evenBo33.oddBo41	85860
evenBo10.oddBo13	25166
evenBo14.oddBo10	24611
evenBo34.oddBo45	27625
evenBo46.oddBo82	51640
evenBo2.oddBo45	3967
evenBo23.oddBo56	56540
evenBo20.oddBo74	14579
evenBo15.oddBo65	93575
evenBo48.oddBo88	20824
evenBo22.oddBo53	67644
evenBo11.oddBo29	11226
evenBo2.oddBo49	12104
evenBo34.oddBo47	92345
evenBo26.oddBo29	74988
evenBo19.oddBo59	24329
evenBo19.oddBo78	12751
evenBo28.oddBo67	90218
evenBo13.oddBo60	9207
evenBo34.oddBo92	15246
evenBo27.oddBo83	17806
evenBo15.oddBo70	43661
evenBo40.oddBo77	32162
evenBo34.oddBo83	17715
evenBo7.oddBo24	174039
evenBo19.oddBo80	39115
evenBo32.oddBo62	76824
evenBo37.oddBo66	33031
evenBo36.oddBo19	20394
evenBo38.oddBo29	33978
evenBo40.oddBo40	33431
evenBo16.oddBo71	45847
evenBo35.oddBo33	66266
evenBo6.oddBo61	49788
evenBo28.oddBo28	37227
evenBo21.oddBo24	24688
evenBo38.oddBo49	80444
evenBo18.oddBo11	15984
evenBo41.oddBo61	56628
evenBo30.oddBo77	52952
evenBo13.oddBo32	10101
evenBo31.oddBo60	77223
evenBo23.oddBo47	48955
evenBo30.oddBo84	23200
evenBo29.oddBo84	8790
evenBo32.oddBo61	31065
evenBo16.oddBo33	27866
evenBo17.oddBo40	12334
evenBo43.oddBo60	28245
evenBo30.oddBo50	40704
evenBo28.oddBo36	28901
evenBo35.oddBo93	46679
evenBo40.oddBo26	4927
evenBo35.oddBo17	14585
evenBo15.oddBo57	36958
evenBo50.oddBo66	12452
evenBo26.oddBo90	31362
