spot_id	x	y	clusternum
evenBo14.oddBo10	36	86	1150
evenBo34.oddBo45	16	51	1053
evenBo46.oddBo82	4	14	798
evenBo2.oddBo45	48	51	323
evenBo23.oddBo56	27	40	1021
evenBo20.oddBo74	30	22	617
evenBo15.oddBo65	35	31	1122
evenBo48.oddBo88	2	8	601
evenBo22.oddBo53	28	43	928
evenBo11.oddBo29	39	67	474
evenBo2.oddBo49	48	47	320
evenBo34.oddBo47	16	49	1257
evenBo26.oddBo29	24	67	825
evenBo19.oddBo59	31	37	737
evenBo19.oddBo78	31	18	692
evenBo28.oddBo67	22	29	1875
evenBo13.oddBo60	37	36	520
evenBo34.oddBo92	16	4	737
evenBo27.oddBo83	23	13	777
evenBo15.oddBo70	35	26	763
evenBo40.oddBo77	10	19	1020
evenBo34.oddBo83	16	13	822
evenBo7.oddBo24	43	72	1375
evenBo19.oddBo80	31	16	704
evenBo32.oddBo62	18	34	1526
evenBo37.oddBo66	13	30	1021
evenBo36.oddBo19	14	77	576
evenBo38.oddBo29	12	67	874
evenBo40.oddBo40	10	56	718
evenBo16.oddBo71	34	25	973
evenBo35.oddBo33	15	63	1095
evenBo6.oddBo61	44	35	581
evenBo28.oddBo28	22	68	543
evenBo21.oddBo24	29	72	719
evenBo38.oddBo49	12	47	1207
evenBo18.oddBo11	32	85	538
evenBo41.oddBo61	9	35	1092
evenBo30.oddBo77	20	19	1069
evenBo13.oddBo32	37	64	228
evenBo31.oddBo60	19	36	1339
evenBo23.oddBo47	27	49	947
evenBo30.oddBo84	20	12	900
evenBo29.oddBo84	21	12	523
evenBo32.oddBo61	18	35	1107
evenBo16.oddBo33	34	63	591
evenBo17.oddBo40	33	56	467
evenBo43.oddBo60	7	36	487
evenBo30.oddBo50	20	46	982
evenBo28.oddBo36	22	60	701
evenBo35.oddBo93	15	3	1079
evenBo40.oddBo26	10	70	639
evenBo35.oddBo17	15	79	678
evenBo15.oddBo57	35	39	948
evenBo50.oddBo66	0	30	755
evenBo26.oddBo90	24	6	540
evenBo20.oddBo50	30	46	740
evenBo24.oddBo87	26	9	281
evenBo10.oddBo72	40	24	384
evenBo1.oddBo34	49	62	175
evenBo14.oddBo69	36	27	943
evenBo16.oddBo56	34	40	584
evenBo34.oddBo41	16	55	1155
evenBo16.oddBo16	34	80	953
evenBo34.oddBo93	16	3	931
evenBo10.oddBo53	40	43	1214
evenBo50.oddBo72	0	24	852
evenBo24.oddBo21	26	75	333
evenBo30.oddBo54	20	42	1045
evenBo13.oddBo76	37	20	618
evenBo31.oddBo43	19	53	1168
evenBo14.oddBo64	36	32	1289
evenBo24.oddBo5	26	91	1268
evenBo9.oddBo43	41	53	673
evenBo29.oddBo62	21	34	1288
evenBo29.oddBo46	21	50	786
evenBo47.oddBo68	3	28	618
evenBo35.oddBo13	15	83	1381
evenBo40.oddBo32	10	64	693
evenBo10.oddBo41	40	55	357
evenBo34.oddBo78	16	18	874
evenBo22.oddBo50	28	46	1253
evenBo38.oddBo25	12	71	933
evenBo10.oddBo45	40	51	666
evenBo46.oddBo69	4	27	993
evenBo14.oddBo46	36	50	401
evenBo40.oddBo48	10	48	822
evenBo30.oddBo73	20	23	1099
evenBo50.oddBo87	0	9	1007
evenBo25.oddBo89	25	7	559
evenBo29.oddBo71	21	25	1751
evenBo23.oddBo83	27	13	1059
evenBo43.oddBo40	7	56	402
evenBo41.oddBo44	9	52	884
evenBo43.oddBo34	7	62	615
